,FC_var_1650,FC_mean_41715,FC_var_39614,FC_mean_39513,FC_var_29892,FC_mean_8450,FC_var_36058,FC_mean_16186,FC_var_39606,FC_mean_1467,FC_var_17269,FC_mean_1635,FC_mean_25403,FC_var_27225,FC_var_17588,FC_var_30742
15,-0.07723427,0.27228853,0.009670449,-0.021750228,0.39747688,2.5496244,0.012685828,0.00072110136,-0.022417016,-0.011182236,0.3040658,0.011003494,0.04237618,0.62888515,-0.0150252255,-0.021313054
16,0.05625134,0.9714048,-0.04411791,0.76290876,0.13155538,-0.19553807,-0.014873754,0.00727422,0.078630105,0.21463002,-0.09320519,0.09593352,-0.13511041,0.3159286,-0.0011707521,-0.0915159
17,-0.21177849,-0.03211128,-0.070412695,-0.16641586,0.044879228,-0.34006572,0.06711894,0.44478816,0.07814873,0.0023454882,0.10086152,0.23245388,0.037330538,-0.071120866,-0.0032315953,-0.053188123
18,-0.09904802,0.23975274,-0.07200971,-0.48905262,-0.04567624,-0.4526728,-0.08788411,-0.047159817,-0.06672312,-0.14267892,-0.11242557,-0.103951044,0.007890568,-0.13941754,-0.0018520931,-0.32745507
19,-0.017995983,-0.12605529,-0.06961771,-0.09566472,-0.042905923,-0.33079103,0.08160682,-0.06378497,0.083289266,0.22295164,0.0068584536,0.43647975,0.059746712,-0.08743772,0.07812081,-0.07617741
20,-0.056241293,-0.4341035,-0.016012108,-0.015757574,-0.36125368,-0.5056637,0.04760271,-0.099604234,-0.010251526,0.029962825,-0.09663926,-0.18056688,0.028341616,-0.03574526,-0.00833023,-0.22610247
21,-0.21129122,0.41835305,0.13223648,-0.12521991,0.57152206,-0.4896689,0.10886096,-0.08227377,0.0513228,0.04568536,0.26443958,-0.023215074,-0.08267638,-0.18399467,-0.009174686,-0.32497954
22,-0.13129929,-0.5800939,-0.07897741,0.1049435,-0.2826338,-0.581681,0.06878364,-0.1738017,-0.045511745,-0.02883826,-0.08546436,-0.042852394,0.014544415,-0.09644131,0.014858663,-0.015907234
23,0.41795757,0.22038092,0.21282373,0.13131991,1.8294766,-0.09585011,0.10379448,-0.054867897,-0.0040531284,-0.10452091,0.048843138,0.25157848,0.13128239,0.03918082,0.04306247,-0.110335395
24,-0.23099846,-0.8060223,0.054031223,0.123558365,-0.10772688,-0.34248978,0.03998499,-0.20776251,-0.057043083,-0.20394325,0.026154073,-0.08134203,-0.049385685,0.030340405,-0.0061445837,-0.12094471
