,164_Visual_var,211_VentralAttention_var,288_FrontoParietal_mean,65_CinguloOpercular_mean,211_VentralAttention_mean,75_Auditory_var,159_Visual_mean,20_SomatomotorDorsal_var,279_DefaultMode_mean,268_CinguloOpercular_var
38,-0.18991238,-0.4194004,-0.14339961,-0.13203579,-0.19696856,-0.4312696,-0.12425407,-0.11223782,-0.12081448,-0.06986483
39,-0.10187924,-0.46931273,-0.24351943,-0.030739008,-0.13017659,-0.49872768,-0.14693236,-0.15544213,-0.074213035,-0.08878812
40,-0.22737189,-1.0097958,-0.045619562,-0.10981993,0.42085442,-0.57224,-0.15357992,-0.12128353,-0.08911232,-0.029851487
41,-0.13431957,-0.5490318,-0.26695773,-0.11618956,-0.25421467,0.056146853,-0.17284796,-0.2100393,-0.15066989,-0.14231022
42,-0.07149397,-0.99021447,-0.049414307,0.15124471,-0.11655322,-0.561162,-0.026422678,-0.118895195,-0.13920353,-0.017873103
43,-0.28621688,-0.8536428,0.07922796,-0.2291443,-0.22956105,0.07821207,0.06648847,-0.23934883,-0.26441684,-0.061648715
44,-0.20242724,-0.62598884,0.45346594,-0.016714407,0.7374171,0.414332,0.23424497,0.02837344,-0.045875132,0.0826557
45,-0.06725695,-0.6748056,-0.2779658,-0.01888446,-0.14737839,-0.19826132,-0.2083245,-0.10798881,-0.19675192,-0.042618096
46,-0.2275357,-0.48180768,-0.21444254,-0.05595289,-0.15526354,-0.437885,-0.16608815,-0.074975245,-0.11987188,-0.0072557046
47,-0.023635954,-0.3216997,0.022528352,0.63412684,-0.10538552,0.4330996,0.26427498,-0.01892725,0.102877416,0.070587724
48,-0.49306738,-0.34545663,-0.046251982,-0.11336277,-0.015278516,-0.6021437,-0.0821952,-0.10958312,-0.17771378,0.044448856
49,-0.106296234,-0.54704034,-0.20180112,-0.06255367,-0.22783938,0.37126353,-0.03416761,-0.017073382,-0.14732124,0.03231992
50,-0.21501999,0.47187683,-0.701534,0.21385324,-0.07085018,0.08500102,-1.1948742,-0.31784827,-0.1294286,-0.08081784
51,-0.24905263,-0.8771231,-0.00368375,-0.10420722,-0.31294814,0.107746504,-0.348147,-0.1630083,0.07686423,-0.06695011
52,-0.15943842,-0.9051009,-0.023769278,-0.18252201,-0.2535446,0.10364282,-0.3073473,-0.017268915,-0.1823011,-0.012368096
53,-0.26097876,-0.6755997,-0.19853853,-0.24664597,-0.16589014,-0.2330903,0.024315396,-0.10210537,-0.023465548,-0.058392946
54,-0.14014553,0.8466809,-0.4199463,-0.15810443,-0.088566884,0.11210435,-0.41620854,-0.09652116,-0.50712276,-0.07074829
55,-0.14894827,-0.1356545,-0.18357171,0.06770522,-0.1535315,-0.3465157,0.15863395,-0.027824298,-0.12935881,-0.04152876
