,FC_mean_32788,FC_mean_11387,FC_var_38134,FC_mean_34420,FC_var_42403,FC_var_13935,FC_var_28464,FC_var_9542,FC_var_5661,FC_mean_10410
27,-1.6694818,-0.367047,0.15133466,0.3968602,-0.2526235,-0.7307838,0.047704984,0.39949888,-0.10700412,-0.023108525
28,-0.9998152,0.029897217,-1.0062261,0.69587404,-0.0042899735,-0.45261282,-0.26892132,0.55705446,0.089065686,0.20537475
29,0.30491567,-0.117957704,-0.29425123,-1.1723471,-2.3633268,-0.12891723,-0.33012813,0.305596,-0.091675706,-2.266296
30,1.2944275,0.17400791,0.55808645,0.0578419,0.5187156,1.0202526,0.055283666,0.7403242,-0.07132844,0.49556112
31,0.42948887,0.01773637,-1.0038131,0.6929285,-1.8069481,-0.101509765,-0.023019055,0.5604689,-0.21035713,0.29048258
32,1.037201,0.24873616,-0.19833043,0.96474636,-0.10635446,0.14693756,0.036230527,0.7040554,0.031291,-0.019944865
33,0.46917677,0.18484427,1.325965,0.47041002,1.0806412,0.5919379,0.7013039,-1.4039108,0.19415458,0.23027885
34,0.27273571,0.27783227,-0.46093956,-0.958426,-0.1334831,0.06862259,0.06452747,-2.3703792,-0.077641845,0.16208096
35,-0.8548583,-0.19730888,0.32379115,-0.73390657,-1.3044865,-0.13403568,-0.17145173,0.4456946,-0.6367072,0.10891429
36,-0.70222116,-0.22109243,0.020606834,0.4430249,-0.598508,-0.7923257,-2.0539975,-3.7414207,-0.14270137,-0.36414638
37,-0.061992746,0.30627453,0.70831996,0.3435621,1.2790844,0.70706886,0.36728472,-0.028112885,0.4015025,0.82190746
38,-0.6530588,-0.054907866,0.4439782,-0.43841577,-0.3897428,-0.6048544,-0.05923466,0.35809976,0.3311508,-0.08760036
39,0.8399719,0.43784982,0.3918373,0.7190683,0.95948154,0.39862376,-0.38304472,0.8653775,0.18566333,0.42980796
40,0.49133873,0.030497178,-0.16215917,-0.9349452,-0.22723684,0.12967163,0.35526222,-2.0589232,-0.32906783,-0.44964862
41,0.5215648,0.5365438,0.34283224,1.7192893,0.482028,0.11849509,0.102485225,0.21102194,0.19274288,0.61744833
42,1.0313938,-0.12841663,-0.83660036,-0.41685405,0.1525926,-1.2645224,-0.24946319,0.16266099,0.09870574,0.29591104
43,1.2170017,0.13163954,-0.46526858,-0.46728235,-0.05647699,0.35159263,-0.18910918,0.63659406,-0.20270301,-0.11031761
44,1.0589266,-0.40198523,0.20316648,-0.4133545,0.28436464,0.6240283,0.010147506,-1.9600891,0.08210924,0.3579896
45,0.9479477,-0.15083842,-0.31198072,-0.37399268,0.15201086,0.4015753,-0.2022744,0.49164066,-0.079666525,-0.02909623
46,0.8184473,0.35721537,-0.70219016,-0.21278988,-0.13039969,-0.40956193,0.27331716,0.564819,0.0084727425,0.278407
47,0.54761475,-0.25493184,-0.25452617,-1.0500494,-0.16223498,-0.95243543,-0.43109,0.4977895,-0.27490723,0.18078406
48,0.52564037,0.01994892,0.12771103,-0.74679995,0.8103238,0.1133061,-0.20176578,0.22632077,-0.13216394,0.102740385
49,0.46604255,-0.0902365,-0.17263813,-0.432254,0.2073036,0.25185287,0.202092,-1.6378675,-0.03471782,-1.9144069
50,-1.0759301,-1.0692581,0.084056824,-0.32838503,-0.055726796,-0.4411339,0.008456775,0.49434656,-0.007165284,0.23588756
51,0.09482066,0.2662373,1.0343114,1.4350471,-0.33707327,0.020536998,1.1342751,0.44865283,0.124831446,0.62344927
52,1.0403658,0.5626161,-0.334694,0.95852184,0.18592206,0.6634611,0.0751338,0.8798688,0.1605187,0.653323
53,1.1688472,0.19649902,0.20534885,0.71774465,0.41808647,1.2310754,-0.33003503,0.40874144,0.06924745,0.7596016
54,1.0511734,0.28283206,1.2075882,-0.094944775,1.1316152,-0.20618728,0.028931176,0.6835893,-0.0685715,0.82832325
55,-0.69431376,0.07409598,-1.3783398,0.49073446,0.09553275,-0.2810271,0.1343144,0.2142338,-0.07199559,0.26385087
56,-0.45945555,0.13507041,0.0907757,0.10063503,1.1731428,-0.17234278,0.48069838,-0.40545735,0.077891946,-0.1749764
57,0.84481245,0.009752907,-0.03148877,1.1437743,0.21361357,0.6336762,0.05941772,0.758392,-0.0034969838,0.21693073
58,0.93871,0.46033093,0.34091318,-0.28796396,0.71804607,0.3515184,-0.020052165,0.5248602,0.1016549,0.71724427
59,-1.1095026,0.0182676,0.215729,0.7574603,0.7474853,0.67130184,0.38094714,0.39395502,0.4880062,0.27968755
